Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
1,desharnais,EN,SA,KFold,5,0.0,-0.11592741864954492,2523.8514344262294,8949192.553429857,2991.520107475438,2160.762295081967,-12.0,"{'alpha': 866.1004008035618, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.9887980285757668, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",-21126512.95470637,"[-16150608.25, -12014809.329931974, -10081198.53751909, -6423701.719005968, -60962246.93707482]","[-16150608.25, -12014809.329931974, -10081198.53751909, -6423701.719005968, -60962246.93707482]",-21126512.95470637,-21126512.95470637,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967]",0:00:05.786190
1,desharnais,EN,SA,RepeatedKFold,5,0.0,-0.11592741864954492,2523.8514344262294,8949192.553429857,2991.520107475438,2160.762295081967,-12.0,"{'alpha': 852.3948010680643, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.9634044411456164, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",-20122356.11004522,"[-16150608.25, -12014809.329931974, -10081198.53751909, -6423701.719005968, -60962246.93707482]","[-21752263.114216074, -36224736.414965995, -22133338.474489797, -6603683.236394558, -11858802.290816328, -35543787.09765625, -8839661.784013607, -16227777.06972789, -13793275.421768704, -23954808.42687075, -9122827.188701924, -51698381.306122445, -21742137.981292512, -11265312.103741497, -11074549.739900043]",-21126512.95470637,-20122356.11004522,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967]",0:00:16.034959
1,desharnais,EN,SA,HoldOut,5,0.0,-0.11592741864954492,2523.8514344262294,8949192.553429857,2991.520107475438,2160.762295081967,-12.0,"{'alpha': 968.9260005041607, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.7954587043642092, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",-21752263.11421608,"[-16150608.25, -12014809.329931974, -10081198.53751909, -6423701.719005968, -60962246.93707482]",[-21752263.11421608],-21126512.95470637,-21752263.11421608,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967]",0:00:01.717176
1,desharnais,EN,SA,RepeatedHoldOut,5,0.0,-0.11592741864954492,2523.8514344262294,8949192.553429857,2991.520107475438,2160.762295081967,-12.0,"{'alpha': 777.446712379718, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.9761569854061763, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",-18621066.000160255,"[-16150608.25, -12014809.329931974, -10081198.53751909, -6423701.719005968, -60962246.93707482]","[-21752263.11421608, -35543787.09765625, -9122827.188701924, -11984493.324953258, -14701959.275273772]",-21126512.95470637,-18621066.000160255,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967, 5034.262295081967]",0:00:05.705465
1,desharnais,EN,SA,Bootstrap,5,0.0018043313187551258,-0.11322134670250339,2520.927642775237,8927491.17884869,2987.8907575158582,2157.3438106898598,-11.0,"{'alpha': 188.53140155062454, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.515962998564837, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",-24278409.348074175,"[-16126083.41071942, -11994349.535759943, -10055463.562769128, -6403185.483767275, -60885278.03402665]","[-23697418.989725854, -27054974.07344446, -13181158.95122644, -10391595.172374366, -14829423.34247175, -14014310.330920473, -24259367.46926106, -34811717.22186566, -12841480.711830102, -29263251.01977773, -16572043.110829465, -19952598.31105, -24104513.167084772, -35725619.29586667, -14285184.73471059, -17838283.62470784, -11328778.797256077, -14154515.130273597, -9911335.956663327, -27636280.22110034, -10261403.44217345, -11144956.459633738, -24304784.807362273, -13190309.653879678, -13999057.961838322, -22512701.09969933, -17223286.40187491, -12154103.352080025, -12353769.061429195, -18645260.715204254, -8226929.646326358, -15755719.743584199, -17765757.71598629, -14774656.76025083, -11399123.627387729, -24849687.570901334, -11594660.531097988, -26026520.301735446, -15400602.413206937, -11036088.39673387, -11837208.405689808, -32258742.25806529, -7606290.618981806, -21145724.080597743, -24907408.666404475, -29302584.13772322, -17102665.897617217, -26317275.744002193, -10171639.927138455, -22490685.979866292]",-21092872.005408484,-18232269.100218266,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[5032.595130868458, 5037.333602027321, 5029.680199961662, 5036.076629881611, 5033.778018394315, 5031.996280578309, 5031.247175454381, 5030.332080095105, 5030.268030949984, 5027.760300879999, 5032.802400449123, 5044.747476907106, 5030.300086213548, 5038.559766396658, 5031.419590429736, 5036.439998475996]",0:00:53.030276
0,kitchenham,CART,grid search,,5,1.0,0.095005454340094,4359.172413793103,383906138.3448276,19593.522867132076,519.0,10.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-2664146.244268775,"[-1830140.391304348, -621227.6086956522, -3391304.1304347827, -6882551.636363637, -595507.4545454546]","[-1830140.391304348, -621227.6086956522, -3391304.1304347827, -6882551.636363637, -595507.4545454546]",-2664146.244268775,-2664146.244268775,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[324.0, 570.0, 1159.0, 464.0, 1024.0, 1016.0, 1698.0, 3483.0, 4115.0, 1693.0, 1401.0, 655.0, 585.0, 669.0, 12646.0, 1532.0, 4115.0, 8509.0, 1304.0, 1939.0, 8600.0, 1557.0, 980.0, 339.0, 1432.0, 2037.0, 8509.0, 655.0, 2480.0]",0:00:00.003023
1,kitchenham,CART,grid search,KFold,5,0.9319352375867633,0.16036336101717985,4331.0491988854055,356180776.1500693,18872.752214504097,539.5,16.0,"{'model__max_depth': 5, 'model__max_features': 1}",-2322210.7103644647,"[-2427844.800821927, -935904.8605994699, -4775295.509840174, -2238494.1768990415, -1233514.2036617117]","[-2427844.800821927, -935904.8605994699, -4775295.509840174, -2238494.1768990415, -1233514.2036617117]",-2322210.7103644647,-2322210.7103644647,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[646.0, 646.0, 1474.909090909091, 646.0, 1474.909090909091, 1862.1363636363637, 728.5, 1862.1363636363637, 4963.25, 1435.5, 604.5, 646.0, 646.0, 646.0, 8656.0, 1862.1363636363637, 3189.0, 3230.5, 646.0, 1862.1363636363637, 12646.0, 1862.1363636363637, 641.5, 900.2222222222222, 1862.1363636363637, 1862.1363636363637, 5733.0, 646.0, 1320.0]",0:00:00.326239
1,kitchenham,CART,grid search,RepeatedKFold,5,0.979130293927959,0.16040899251802088,4284.44069019305,356161418.89166504,18872.239371406486,420.25,16.0,"{'model__max_depth': 5, 'model__max_features': None}",-1922420.7418577676,"[-1852732.8703796028, -444155.5651582372, -4971296.283730453, -6891259.537207213, -513530.59198733506]","[-438555.12001686136, -1143257.7872308863, -1899275.6458454016, -1759694.6173240237, -4195362.695123685, -594762.4409313641, -2007484.6898448921, -935759.2787344104, -4391582.507093505, -1130999.2694886364, -1781951.1507719608, -364352.5448892416, -1538857.163987096, -2797698.0219800044, -3856718.194604547]",-2934594.969692568,-1922420.7418577676,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[655.0666666666667, 416.8181818181818, 1212.0666666666666, 416.8181818181818, 1212.0666666666666, 1212.0666666666666, 2124.7368421052633, 3493.5, 4109.857142857143, 1547.0, 1547.0, 741.25, 655.0666666666667, 655.0666666666667, 8600.0, 1212.0666666666666, 4109.857142857143, 7649.0, 1212.0666666666666, 2124.7368421052633, 12646.0, 1771.3076923076924, 741.25, 416.8181818181818, 2124.7368421052633, 2124.7368421052633, 7649.0, 741.25, 2124.7368421052633]",0:00:00.469539
1,kitchenham,CART,grid search,HoldOut,5,0.979130293927959,0.16040899251802088,4284.44069019305,356161418.89166504,18872.239371406486,420.25,16.0,"{'model__max_depth': 5, 'model__max_features': None}",-438555.12001686136,"[-1852732.8703796028, -444155.5651582372, -4971296.283730453, -6891259.537207213, -513530.59198733506]",[-438555.12001686136],-2934594.969692568,-438555.12001686136,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[655.0666666666667, 416.8181818181818, 1212.0666666666666, 416.8181818181818, 1212.0666666666666, 1212.0666666666666, 2124.7368421052633, 3493.5, 4109.857142857143, 1547.0, 1547.0, 741.25, 655.0666666666667, 655.0666666666667, 8600.0, 1212.0666666666666, 4109.857142857143, 7649.0, 1212.0666666666666, 2124.7368421052633, 12646.0, 1771.3076923076924, 741.25, 416.8181818181818, 2124.7368421052633, 2124.7368421052633, 7649.0, 741.25, 2124.7368421052633]",0:00:00.062338
1,kitchenham,CART,grid search,RepeatedHoldOut,5,0.9959106527453028,0.17124790890057906,4603.103448275862,351563461.3103448,18750.025634925005,642.0,17.0,"{'model__max_depth': 10, 'model__max_features': 0.3}",-1471896.9869565216,"[-4694452.280193237, -434469.2132367149, -6899930.06763285, -1797345.4595959596, -1057185.5]","[-1757702.6304347827, -367555.652173913, -1545189.6956521738, -2100424.0, -1588612.956521739]",-2976676.504131752,-1471896.9869565216,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[1173.0, 1173.0, 557.0, 1693.0, 286.0, 1173.0, 1698.0, 2224.0, 12646.0, 1066.0, 219.0, 1693.0, 718.0, 718.0, 8600.0, 1173.0, 3189.0, 4824.0, 931.0, 1832.0, 13635.0, 3050.0, 655.0, 570.0, 2224.0, 2265.0, 8509.0, 1066.0, 2172.0]",0:00:00.207376
1,kitchenham,CART,grid search,Bootstrap,5,0.979130293927959,0.16040899251802088,4284.44069019305,356161418.89166504,18872.239371406486,420.25,16.0,"{'model__max_depth': 5, 'model__max_features': None}",-2059878.0284807384,"[-1852732.8703796028, -444155.5651582372, -4971296.283730453, -6891259.537207213, -513530.59198733506]","[-1675078.9224492933, -1288673.3120046188, -1530953.8081295972, -2300561.3890869385, -3589680.937538296, -1654261.4516595441, -864822.3384529069, -1206623.6527079826, -2267412.5251625446, -2730410.0407331637, -1230390.8229980916, -1695967.1093429485, -2277062.115921926, -4114145.2972676046, -1879531.883968649, -3851035.628442736, -589686.9327396282, -2953201.738020111, -4853223.520978424, -2282886.2140602195, -1662397.6951530555, -2050207.2934925824, -2535668.752551638, -714004.9042511055, -2850197.4667912214, -1446453.7937393622, -711713.409199415, -2672869.4721860434, -2837676.165049435, -2339583.059342529, -1335002.5927332116, -2879904.7301330557, -445925.1362840907, -1851846.8870168345, -1250766.5943091097, -3880270.866317299, -2123546.939132869, -5697940.278631175, -2088519.5016201623, -2243462.529306354, -665348.7278927427, -2007720.02428826, -2422191.64389426, -2214991.2738023014, -1793586.6745076212, -2726103.697849749, -1445852.692631375, -1348652.1761061628, -2555791.7518529715, -5020814.548860293]",-2934594.969692568,-2213092.4184118304,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[655.0666666666667, 416.8181818181818, 1212.0666666666666, 416.8181818181818, 1212.0666666666666, 1212.0666666666666, 2124.7368421052633, 3493.5, 4109.857142857143, 1547.0, 1547.0, 741.25, 655.0666666666667, 655.0666666666667, 8600.0, 1212.0666666666666, 4109.857142857143, 7649.0, 1212.0666666666666, 2124.7368421052633, 12646.0, 1771.3076923076924, 741.25, 416.8181818181818, 2124.7368421052633, 2124.7368421052633, 7649.0, 741.25, 2124.7368421052633]",0:00:01.477013
0,kitchenham,CART,random search,,5,1.0,0.095005454340094,4359.172413793103,383906138.3448276,19593.522867132076,519.0,10.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-2664146.244268775,"[-1830140.391304348, -621227.6086956522, -3391304.1304347827, -6882551.636363637, -595507.4545454546]","[-1830140.391304348, -621227.6086956522, -3391304.1304347827, -6882551.636363637, -595507.4545454546]",-2664146.244268775,-2664146.244268775,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[324.0, 570.0, 1159.0, 464.0, 1024.0, 1016.0, 1698.0, 3483.0, 4115.0, 1693.0, 1401.0, 655.0, 585.0, 669.0, 12646.0, 1532.0, 4115.0, 8509.0, 1304.0, 1939.0, 8600.0, 1557.0, 980.0, 339.0, 1432.0, 2037.0, 8509.0, 655.0, 2480.0]",0:00:00.002001
1,kitchenham,CART,random search,KFold,5,0.9915335362721669,0.17531931995036454,4386.320910698498,349836335.217449,18703.912297095732,478.91666666666663,18.0,"{'model__max_depth': 6, 'model__max_features': 0.44555916400773216}",-1918600.777771898,"[-4370656.415262524, -675675.9147569754, -1982414.2588325075, -2017077.0701451965, -547180.229862285]","[-4370656.415262524, -675675.9147569754, -1982414.2588325075, -2017077.0701451965, -547180.229862285]",-1918600.777771898,-1918600.777771898,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[600.0833333333334, 366.3333333333333, 2591.0, 644.0, 994.0, 1030.0, 1842.076923076923, 3493.5, 3750.6, 1358.0, 655.0, 654.0, 600.0833333333334, 600.0833333333334, 8628.0, 1030.0, 3750.6, 8628.0, 1198.8333333333333, 1842.076923076923, 13635.0, 1842.076923076923, 1358.0, 366.3333333333333, 2616.5, 3050.0, 8628.0, 1358.0, 3319.0]",0:00:00.213038
1,kitchenham,CART,random search,RepeatedKFold,5,0.8100447709178902,0.0928986953313865,4453.674228675136,384799842.86419165,19616.31573115073,441.1875,9.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-1710208.9794802188,"[-3578866.0110037574, -470208.2714876655, -4128639.9635895393, -4783050.101809585, -838317.967304194]","[-1415721.6837258055, -783004.8085524809, -811975.5007118619, -2589618.9863262568, -4318186.320767719, -608880.997839514, -2047894.2158887081, -519330.44806502765, -1410596.9249756748, -1298440.1448599482, -1740567.0637557392, -1433185.2303086205, -2086114.7113006113, -4109890.009444445, -479727.6456808675]",-2759816.4630389484,-1710208.9794802188,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 2190.5526315789475, 2190.5526315789475, 4652.8125, 857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 8667.125, 857.6666666666666, 4652.8125, 8667.125, 857.6666666666666, 2190.5526315789475, 8667.125, 2190.5526315789475, 857.6666666666666, 857.6666666666666, 2190.5526315789475, 2190.5526315789475, 8667.125, 857.6666666666666, 2190.5526315789475]",0:00:00.582591
1,kitchenham,CART,random search,HoldOut,5,1.0,0.08825704138446122,4737.724137931034,386768870.6896552,19666.44021396997,505.0,9.0,"{'model__max_depth': 17, 'model__max_features': 0.48114598712001183}",-762735.0434782609,"[-7853892.739130435, -1093194.6956521738, -4223986.130434782, -1909915.8636363635, -369420.63636363635]",[-762735.0434782609],-3090082.013043478,-762735.0434782609,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[324.0, 718.0, 887.0, 570.0, 1024.0, 2591.0, 1832.0, 1698.0, 5927.0, 1401.0, 655.0, 654.0, 254.0, 502.0, 8656.0, 2591.0, 5927.0, 8509.0, 1304.0, 1884.0, 8656.0, 1737.0, 1401.0, 570.0, 1431.0, 2223.0, 12646.0, 1401.0, 1631.0]",0:00:00.065817
1,kitchenham,CART,random search,RepeatedHoldOut,5,1.0,0.09632853291822774,4339.586206896552,383344877.51724136,19579.195017089987,346.0,10.0,"{'model__max_depth': 28, 'model__max_features': 0.5564532903055841}",-1410759.182608696,"[-1901896.7391304348, -571625.5652173914, -4607309.565217392, -8906653.590909092, -721808.6818181818]","[-975146.5652173914, -815252.2173913043, -1706544.7391304348, -2190562.1304347827, -1366290.2608695652]",-3341858.828458498,-1410759.182608696,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[324.0, 324.0, 1722.0, 324.0, 1040.0, 1328.0, 2224.0, 2895.0, 4115.0, 1693.0, 1693.0, 654.0, 570.0, 464.0, 12646.0, 1328.0, 4068.0, 8509.0, 892.0, 1428.0, 8656.0, 1940.0, 676.0, 593.0, 2570.0, 2265.0, 7649.0, 654.0, 2570.0]",0:00:00.206341
1,kitchenham,CART,random search,Bootstrap,5,0.8553432977450183,0.13426774967235744,4138.001814882033,367250749.36392224,19163.78744830787,518.25,13.0,"{'model__max_depth': 2, 'model__max_features': 0.57660516520127}",-2078567.1142263464,"[-3578866.0110037574, -574348.2233669326, -4128639.9635895393, -4783050.101809585, -838317.967304194]","[-2764271.474175228, -1822361.3385281197, -1847777.1927629684, -1324415.8423795542, -1253329.926148566, -1240761.7047756782, -2742394.558963729, -2868641.5995044103, -2664396.8816327853, -10108206.741621217, -977120.4077288825, -789606.1649511312, -2880060.0028910907, -4097575.61835792, -2412938.4390511154, -2458515.834979953, -2653378.7978333407, -3058149.28352211, -3044862.296187167, -2933127.579656509, -494671.1347112255, -1657282.452576933, -1942001.9294279106, -1284853.6095498444, -5680566.648584868, -3045263.537015847, -1925154.9977526832, -2655441.1210302524, -1331657.4665915875, -2891832.637003799, -2907578.8487423384, -733159.6317619398, -1822882.6838922289, -1408843.7906951169, -773412.456373032, -1504278.7939970798, -1389487.4791104256, -2760746.334768403, -1116941.399609592, -1501592.452203183, -2178609.677347051, -1179951.4200758867, -2145058.178007105, -2871753.751441315, -1116599.1398733514, -1214758.638249456, -1349050.8029894824, -3086081.8957352093, -1714149.304965338, -3136255.320769356]",-2780644.453414802,-2255236.184410066,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 2190.5526315789475, 2190.5526315789475, 5012.25, 857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 857.6666666666666, 10884.25, 857.6666666666666, 5012.25, 5012.25, 857.6666666666666, 2190.5526315789475, 10884.25, 2190.5526315789475, 857.6666666666666, 857.6666666666666, 2190.5526315789475, 2190.5526315789475, 5012.25, 857.6666666666666, 2190.5526315789475]",0:00:01.367055
0,kitchenham,CART,bayes search,,5,1.0,0.095005454340094,4359.172413793103,383906138.3448276,19593.522867132076,519.0,10.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-2664146.244268775,"[-1830140.391304348, -621227.6086956522, -3391304.1304347827, -6882551.636363637, -595507.4545454546]","[-1830140.391304348, -621227.6086956522, -3391304.1304347827, -6882551.636363637, -595507.4545454546]",-2664146.244268775,-2664146.244268775,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[324.0, 570.0, 1159.0, 464.0, 1024.0, 1016.0, 1698.0, 3483.0, 4115.0, 1693.0, 1401.0, 655.0, 585.0, 669.0, 12646.0, 1532.0, 4115.0, 8509.0, 1304.0, 1939.0, 8600.0, 1557.0, 980.0, 339.0, 1432.0, 2037.0, 8509.0, 655.0, 2480.0]",0:00:00.002011
1,kitchenham,CART,bayes search,KFold,5,1.0,0.17684350489361367,4272.103448275862,349189763.4137931,18686.619903390583,539.0,18.0,"OrderedDict([('model__max_depth', 25), ('model__max_features', 0.4203100929775925)])",-2643209.98458498,"[-1702020.4347826086, -381151.0869565217, -3191975.1739130435, -7223214.0, -717689.2272727273]","[-1702020.4347826086, -381151.0869565217, -3191975.1739130435, -7223214.0, -717689.2272727273]",-2643209.98458498,-2643209.98458498,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[1401.0, 1024.0, 718.0, 580.0, 1143.0, 1401.0, 2356.0, 2895.0, 3189.0, 1693.0, 980.0, 339.0, 254.0, 698.0, 8600.0, 1401.0, 3189.0, 5646.0, 2591.0, 2480.0, 13635.0, 1425.0, 980.0, 980.0, 1832.0, 2172.0, 2972.0, 339.0, 1832.0]",0:00:22.198580
1,kitchenham,CART,bayes search,RepeatedKFold,5,0.999999996093543,0.17533352258042456,4453.862068965517,349830310.3448276,18703.751237247237,671.0,18.0,"OrderedDict([('model__max_depth', 13), ('model__max_features', 0.8094080202241276)])",-2025218.7633728592,"[-1587238.4782608696, -963212.5217391305, -5019773.956521739, -8283482.7727272725, -412525.95454545453]","[-2256523.0, -878566.3913043478, -1362742.043478261, -3705985.272727273, -1777950.4090909092, -688901.7391304348, -2668563.0, -948313.0434782609, -1905037.3636363635, -2569171.9545454546, -1663616.4782608696, -1163213.2608695652, -1515520.1304347827, -4297564.5, -2976612.8636363638]",-3253246.7367588934,-2025218.7633728592,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[1401.0, 1401.0, 652.0, 718.0, 2591.0, 1173.0, 2591.0, 3504.0, 5927.0, 750.0, 339.0, 1304.0, 750.0, 652.0, 8600.0, 1737.0, 4824.0, 8509.0, 324.0, 2223.0, 13635.0, 1832.0, 698.0, 437.0, 2203.0, 2203.0, 8509.0, 1693.0, 2860.0]",0:00:29.793789
1,kitchenham,CART,bayes search,HoldOut,5,1.0,0.09632853291822774,4339.586206896552,383344877.51724136,19579.195017089987,346.0,10.0,"OrderedDict([('model__max_depth', 24), ('model__max_features', 0.6066204305086463)])",-975146.5652173914,"[-1901896.7391304348, -571625.5652173914, -4607309.565217392, -8906653.590909092, -721808.6818181818]",[-975146.5652173914],-3341858.828458498,-975146.5652173914,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[324.0, 324.0, 1722.0, 324.0, 1040.0, 1328.0, 2224.0, 2895.0, 4115.0, 1693.0, 1693.0, 654.0, 570.0, 464.0, 12646.0, 1328.0, 4068.0, 8509.0, 892.0, 1428.0, 8656.0, 1940.0, 676.0, 593.0, 2570.0, 2265.0, 7649.0, 654.0, 2570.0]",0:00:27.103171
1,kitchenham,CART,bayes search,RepeatedHoldOut,5,1.0,0.09632853291822774,4339.586206896552,383344877.51724136,19579.195017089987,346.0,10.0,"OrderedDict([('model__max_depth', 24), ('model__max_features', 0.6066204305086463)])",-1410759.182608696,"[-1901896.7391304348, -571625.5652173914, -4607309.565217392, -8906653.590909092, -721808.6818181818]","[-975146.5652173914, -815252.2173913043, -1706544.7391304348, -2190562.1304347827, -1366290.2608695652]",-3341858.828458498,-1410759.182608696,"[1079, 485, 1113, 693, 928, 1576, 2170, 2964, 5094, 896, 220, 322, 726, 630, 15673, 990, 4414, 6307, 995, 1252, 113930, 2408, 989, 313, 955, 3088, 4494, 321, 1455]","[324.0, 324.0, 1722.0, 324.0, 1040.0, 1328.0, 2224.0, 2895.0, 4115.0, 1693.0, 1693.0, 654.0, 570.0, 464.0, 12646.0, 1328.0, 4068.0, 8509.0, 892.0, 1428.0, 8656.0, 1940.0, 676.0, 593.0, 2570.0, 2265.0, 7649.0, 654.0, 2570.0]",0:00:28.406352
